"match_id","point_id","time","video_file_number","video_time","code","team","player_number","player_name","player_id","skill","skill_type","evaluation_code","evaluation","attack_code","attack_description","set_code","set_description","set_type","start_zone","end_zone","end_subzone","end_cone","skill_subtype","num_players","num_players_numeric","special_code","timeout","end_of_set","substitution","point","home_team_score","visiting_team_score","home_setter_position","visiting_setter_position","custom_code","file_line_number","home_p1","home_p2","home_p3","home_p4","home_p5","home_p6","visiting_p1","visiting_p2","visiting_p3","visiting_p4","visiting_p5","visiting_p6","start_coordinate","mid_coordinate","end_coordinate","point_phase","attack_phase","start_coordinate_x","start_coordinate_y","mid_coordinate_x","mid_coordinate_y","end_coordinate_x","end_coordinate_y","home_player_id1","home_player_id2","home_player_id3","home_player_id4","home_player_id5","home_player_id6","visiting_player_id1","visiting_player_id2","visiting_player_id3","visiting_player_id4","visiting_player_id5","visiting_player_id6","set_number","team_touch_id","home_team","visiting_team","home_team_id","visiting_team_id","team_id","point_won_by","winning_attack","serving_team","phase","home_score_start_of_point","visiting_score_start_of_point","set_player_name","file_source"
"645b24c6298e19b489907b2380ec129a",0,NA,1,439,"aP08>LUp","University of California, Santa Barbara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,NA,NA,"",117,9,17,6,2,15,14,1,24,33,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,0,"University of California, San Diego","University of California, Santa Barbara","1378","115","115","University of California, San Diego",FALSE,"University of California, Santa Barbara",NA,0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,439,"az6>LUp","University of California, Santa Barbara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,NA,6,"",118,9,17,6,2,15,14,1,24,33,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,0,"University of California, San Diego","University of California, Santa Barbara","1378","115","115","University of California, San Diego",FALSE,"University of California, Santa Barbara",NA,0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,439,"*P14>LUp","University of California, San Diego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,NA,6,"",119,9,17,6,2,15,14,1,24,33,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,1,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",FALSE,"University of California, Santa Barbara",NA,0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,439,"*z6>LUp","University of California, San Diego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"",120,9,17,6,2,15,14,1,24,33,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,1,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",FALSE,"University of California, Santa Barbara",NA,0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,439,"a01SM-~~~95B~~~00","University of California, Santa Barbara",1,"Kiersten Schmitt","-560119","Serve","Jump-float serve","-","Negative, opponent free attack",NA,NA,NA,NA,NA,9,5,"B",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"00",121,9,17,6,2,15,14,1,24,33,7,11,8,67,NA,8172,NA,NA,2.61875,-0.203703703703704,NA,NA,2.80625,5.7962962962963,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,2,"University of California, San Diego","University of California, Santa Barbara","1378","115","115","University of California, San Diego",FALSE,"University of California, Santa Barbara","Serve",0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,440,"*02RM+~~~15BR~~00F","University of California, San Diego",2,"Ireland McNees","-552416","Reception","Jump-float serve reception","+","Positive, attack",NA,NA,NA,NA,NA,1,5,"B",NA,"On right",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"00F",122,9,17,6,2,15,14,1,24,33,7,11,8,67,NA,8172,NA,NA,2.61875,-0.203703703703704,NA,NA,2.80625,5.7962962962963,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,3,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",FALSE,"University of California, Santa Barbara","Reception",0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,441,"*14EQ#K7C~3A~~~00","University of California, San Diego",14,"Mika Rome","-552421","Set","Quick ball set","#","Perfect",NA,NA,"K7","Gap","C",NA,3,"A",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"00",123,9,17,6,2,15,14,1,24,33,7,11,8,4356,NA,NA,NA,NA,2.20625,2.98148148148148,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,3,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",FALSE,"University of California, Santa Barbara","Reception",0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,441,"*17AQ#X7~49CH1~00F","University of California, San Diego",17,"Mina Olgar","-552423","Attack","Quick ball attack","#","Winning attack","X7","2",NA,NA,NA,4,9,"C",NA,"Hard spike","1 player block",1,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"00F",124,9,17,6,2,15,14,1,24,33,7,11,8,4532,5433,6734,NA,NA,1.30625,3.12962962962963,1.34375,3.7962962962963,1.38125,4.75925925925926,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,3,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",TRUE,"University of California, Santa Barbara","Reception",0,0,"Mika Rome","ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,441,"a24BQ=~~~~2C~~~00","University of California, Santa Barbara",24,"Grace Wuischpard","-386820","Block","Quick ball block","=","Error",NA,NA,NA,NA,NA,NA,2,"C",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,1,0,6,6,"00",125,9,17,6,2,15,14,1,24,33,7,11,8,4667,NA,NA,NA,NA,2.61875,3.2037037037037,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,4,"University of California, San Diego","University of California, Santa Barbara","1378","115","115","University of California, San Diego",FALSE,"University of California, Santa Barbara","Reception",0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",0,NA,1,442,"*p01:00","University of California, San Diego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,1,0,6,6,"",126,9,17,6,2,15,14,1,24,33,7,11,8,4492,NA,NA,NA,NA,3.55625,3.05555555555556,NA,NA,NA,NA,"-513911","-552423","-513914","-552416","-422536","-552421","-560119","-386820","-432979","-432977","-560118","-432982",1,5,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, San Diego",FALSE,"University of California, Santa Barbara",NA,0,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
"645b24c6298e19b489907b2380ec129a",1,NA,1,465,"*P14","University of California, San Diego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,1,1,6,6,"",127,17,6,2,15,14,9,1,24,33,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-552423","-513914","-552416","-422536","-552421","-513911","-560119","-386820","-432979","-432977","-560118","-432982",1,6,"University of California, San Diego","University of California, Santa Barbara","1378","115","1378","University of California, Santa Barbara",FALSE,"University of California, San Diego",NA,1,0,NA,"ucsd_universityofcaliforniasantabarbara_nodate_648777.dvw"
